id,text,clean_text,toxicity_score,is_toxic,toxicity_label
1,Ты потрясающий!!!    !!!,ты потрясающий,0.22,0,SAFE
2,Я ТАК это ненавижу!!! #раздражён,я так это ненавижу раздражн,0.88,1,TOXIC
3,    Какой прекрасный день :),какой прекрасный день,0.0,0,SAFE
4,Ты  глупый...  серьёзно???  !!!,ты глупый серьзно,0.92,1,TOXIC
5,"	Иди к чёрту!!!
",иди к чрту,0.9,1,TOXIC
6,Мне  оооочень  нравится  это  <3  <3  <3,мне оооочень нравится это 3 3 3,0.0,0,SAFE
7,  Идиот! Просто прекрати. !!!,идиот просто прекрати,0.98,1,TOXIC
8,"Вау, потрясающе!! #восторг",вау потрясающе восторг,0.01,0,SAFE
9,Это дрянь... зачем вообще стараться?,это дрянь зачем вообще стараться,0.88,1,TOXIC
10,  Обожаю это <3!!! Продолжай... !!!,обожаю это 3 продолжай,0.12,0,SAFE
11,  Ты потрясающий!!!   ,ты потрясающий,0.26,0,SAFE
12,Я ТАК это ненавижу!!! #раздражён,я так это ненавижу раздражн,0.88,1,TOXIC
13,  Какой прекрасный день :),какой прекрасный день,0.0,0,SAFE
14,  Ты глупый... серьёзно???,ты глупый серьзно,0.91,1,TOXIC
15,"	Иди к чёрту!!!
",иди к чрту,0.9,1,TOXIC
16,Мне оооочень нравится это <3 <3 <3,мне оооочень нравится это 3 3 3,0.0,0,SAFE
17,    Идиот!  Просто  прекрати.  !!!,идиот просто прекрати,0.98,1,TOXIC
18,"  Вау, потрясающе!! #восторг",вау потрясающе восторг,0.01,0,SAFE
19,Это дрянь... зачем вообще стараться? !!!,это дрянь зачем вообще стараться,0.93,1,TOXIC
20,  Обожаю это <3!!! Продолжай...,обожаю это 3 продолжай,0.09,0,SAFE
21,  Ты потрясающий!!!   ,ты потрясающий,0.26,0,SAFE
22,Я ТАК это ненавижу!!! #раздражён !!!,я так это ненавижу раздражн,0.93,1,TOXIC
23,  Какой прекрасный день :) !!!,какой прекрасный день,0.0,0,SAFE
24,Ты глупый... серьёзно???,ты глупый серьзно,0.91,1,TOXIC
25,"	Иди к чёрту!!!
",иди к чрту,0.9,1,TOXIC
26,Мне оооочень нравится это <3 <3 <3,мне оооочень нравится это 3 3 3,0.0,0,SAFE
27,  Идиот! Просто прекрати. !!!,идиот просто прекрати,0.98,1,TOXIC
28,"Вау, потрясающе!! #восторг !!!",вау потрясающе восторг,0.04,0,SAFE
29,Это дрянь... зачем вообще стараться? !!!,это дрянь зачем вообще стараться,0.93,1,TOXIC
30,    Обожаю  это  <3!!!  Продолжай...,обожаю это 3 продолжай,0.09,0,SAFE
