id,text
1,You  are  amazing!!!      
2,I HATE this so much!!! #annoyed
3,  What a lovely day :)
4,You are stupid... seriously??? !!!
5,"	Go to hell!!!
 !!!"
6,    I  loooove  this  <3  <3  <3  !!!
7,Idiot! Just stop it.
8,"Wow,  amazing  stuff!!  #excited"
9,This is trash... why bother?
10,Love it <3!!! Keep going...
11,You  are  amazing!!!      
12,I  HATE  this  so  much!!!  #annoyed  !!!
13,  What a lovely day :)
14,    You  are  stupid...  seriously???
15,"	Go to hell!!!
"
16,I loooove this <3 <3 <3
17,Idiot! Just stop it. !!!
18,"  Wow, amazing stuff!! #excited !!!"
19,This is trash... why bother?
20,Love  it  <3!!!  Keep  going...
21,  You are amazing!!!   
22,I HATE this so much!!! #annoyed
23,        What  a  lovely  day  :)
24,You  are  stupid...  seriously???
25,"	Go to hell!!!
"
26,I loooove this <3 <3 <3 !!!
27,Idiot! Just stop it.
28,"Wow, amazing stuff!! #excited"
29,  This is trash... why bother? !!!
30,Love it <3!!! Keep going...
